#Position (bp)	mapping quality
1.4156441725E9	0.0
1.4234870765E9	60.0
1.4313299805E9	60.0
1.4391728845E9	59.76923076923077
1.4470157885E9	59.6319018404908
1.4548586925E9	60.0
1.4627015965E9	60.0
1.4705445005E9	59.41060903732809
1.4783874045E9	0.0
1.4862303085E9	0.0
1.4940732125E9	0.0
1.5019161165E9	60.0
1.5097590205E9	60.0
1.5176019245E9	60.0
1.5254448285E9	60.0
1.5332877325E9	0.0
1.5411306365E9	60.0
1.5465591695E9	0.0
1.5504806215E9	60.0
1.5568164445E9	59.73770491803279
1.5646593485E9	0.0
1.5725022525E9	47.0
1.5803451565E9	59.884393063583815
1.5881880605E9	59.72093023255814
1.5960309645E9	0.0
1.6038738685E9	44.0
1.6117167725E9	59.620253164556964
1.6195596765E9	0.0
1.6274025805E9	57.19526627218935
1.6352454845E9	52.697560975609754
1.6430883885E9	60.0
1.6509312925E9	59.620253164556964
1.6587741965E9	0.0
1.6666171005E9	59.044585987261144
1.6744600045E9	60.0
1.6823029085E9	60.0
1.6901458125E9	55.07751937984496
1.6942487685E9	0.0
1.6981702205E9	59.7029702970297
1.7058316205E9	58.48803191489362
1.7136745245E9	60.0
1.7215174285E9	0.0
1.7293603325E9	56.81029810298103
1.7372032365E9	0.0
1.7450461405E9	0.0
1.7528890445E9	0.0
1.7607319485E9	0.0
1.7685748525E9	59.47826086956522
1.7764177565E9	60.0
1.7842606605E9	0.0
1.7921035645E9	60.0
1.7999464685E9	0.0
1.8077893725E9	59.55
1.8156322765E9	0.0
1.8234751805E9	60.0
1.8313180845E9	58.15180040030915
1.83544162E9	0.0
1.839363072E9	57.47899159663866
1.8470038925E9	59.51417004048583
1.8548467965E9	0.0
1.8626897005E9	59.3717277486911
1.8705326045E9	60.0
1.8783755085E9	42.45038167938932
1.8862184125E9	58.07843137254902
1.8940613165E9	47.0
1.9019042205E9	59.8051948051948
1.9097471245E9	59.541984732824424
1.9175900285E9	60.0
1.9254329325E9	59.21052631578947
1.9332758365E9	59.03225806451613
1.9411187405E9	49.0
1.9489616445E9	21.698630136986303
1.9568045485E9	52.53533190578158
1.9646474525E9	0.0
1.9698736775E9	37.0
1.9737951295E9	58.81499336456951
1.9803332605E9	59.14719471947195
1.9881761645E9	60.0
1.9960190685E9	0.0
2.0038619725E9	59.23194748358862
2.0117048765E9	0.0
2.0195477805E9	60.0
2.0273906845E9	0.0
2.0352335885E9	59.50769230769231
2.0430764925E9	59.57446808510638
2.0509193965E9	42.43523316062176
2.0587623005E9	60.0
2.0666052045E9	0.0
2.0744481085E9	0.0
2.0822910125E9	0.0
2.0901339165E9	59.714058776806986
2.0979768205E9	60.0
2.1040416195E9	59.354838709677416
2.1079630715E9	59.54887218045113
2.1136626285E9	60.0
2.1215055325E9	0.0
2.1293484365E9	0.0
2.1371913405E9	0.0
2.1450342445E9	0.0
2.1528771485E9	59.71563981042654
2.1607200525E9	60.0
2.1685629565E9	52.073170731707314
2.1764058605E9	40.544444444444444
2.1842487645E9	0.0
2.1920916685E9	0.0
2.1999345725E9	59.36395759717315
2.2077774765E9	0.0
2.2156203805E9	59.01315789473684
2.2234632845E9	0.0
2.2313061885E9	59.361932803406184
2.237632251E9	59.12280701754386
2.241553703E9	0.0
2.2469919965E9	0.0
2.2548349005E9	0.0
2.2626778045E9	60.0
2.2705207085E9	59.361567221286926
2.2783636125E9	32.0655737704918
2.2862065165E9	57.38461538461539
2.2940494205E9	59.830028328611895
2.3018923245E9	40.6436170212766
2.3097352285E9	0.0
2.3175781325E9	59.09090909090909
2.3254210365E9	0.0
2.3332639405E9	49.03030303030303
2.3411068445E9	60.0
2.3489497485E9	31.804347826086957
2.35403897E9	59.482312338222606
2.357960422E9	0.0
2.3646355565E9	0.0
2.3724784605E9	0.0
2.3803213645E9	58.63636363636363
2.3881642685E9	0.0
2.3960071725E9	0.0
2.4038500765E9	0.0
2.4116929805E9	0.0
2.4195358845E9	0.0
2.4273787885E9	59.657794676806084
2.4352216925E9	59.62264150943396
2.4430645965E9	43.92887029288703
2.4509075005E9	60.0
2.458692616E9	58.791806020066886
2.462614068E9	0.0
2.4665933085E9	0.0
2.4744362125E9	0.0
2.4822791165E9	37.703125
2.4901220205E9	60.0
2.4979649245E9	0.0
2.5058078285E9	57.66044776119403
2.5136507325E9	60.0
2.5214936365E9	59.5360824742268
2.5293365405E9	0.0
2.5371794445E9	50.70676691729323
2.5450223485E9	59.623824451410655
2.5528652525E9	58.79396984924623
2.5607081565E9	54.10931174089069
2.56485864E9	0.0
2.568780092E9	57.52272727272727
2.5763939645E9	0.0
2.5842368685E9	57.4290780141844
2.5920797725E9	48.419213973799124
2.5999226765E9	0.0
2.6077655805E9	0.0
2.6156084845E9	60.0
2.6234513885E9	0.0
2.6312942925E9	58.568767908309454
2.6391371965E9	55.39869281045752
2.6469801005E9	0.0
2.6531719885E9	58.52459016393443
2.6570934405E9	51.69032258064516
2.6626659085E9	58.38461538461539
2.6705088125E9	59.186440677966104
2.6783517165E9	57.69827586206897
2.6861946205E9	46.0
2.6940375245E9	59.52666173257207
